month,freq_4pw_r02_hyperband_004678,freq_4pw_r03_catcma_011465,freq_4pw_r05_island_2023_001587,freq_4pw_r09_hyperband_010009,freq_4pw_r11_island_2024_002436,sparse_0pw_r01_smac_018790,sparse_0pw_r06_hyperband_001552,sparse_0pw_r07_hyperband_019621,sparse_0pw_r09_catcma_013114,sparse_0pw_r10_island_2022_000031,sparse_0pw_r11_island_2024_021423,sparse_0pw_r12_hyperband_017877,total
2024-03,-976.3153721000004,0.0,0.0,-5198.868730791572,-8362.10435609997,4051.293467550004,0.0,13588.885458650013,-4030.5339040500057,0.0,-8341.209669399977,-3005.3595375000004,-12274.212643741508
2024-04,6202.273787472737,3183.8192779273013,0.0,0.0,-5813.078856000369,0.0,0.0,-3681.378964999986,-1479.3448286996695,0.0,0.0,-2830.9929132000184,-4418.702497500004
2024-05,-4001.0158873465657,932.5541963696094,0.0,0.0,0.0,-953.4714222999936,7998.588110384301,0.0,-3563.4212508500195,0.0,5550.354893364897,12748.738011649973,18712.326651272204
2024-06,3119.3299672006797,-8928.20342506808,0.0,0.0,0.0,2876.196232568784,0.0,-4866.7785146014485,0.0,0.0,0.0,0.0,-7799.455739900066
2024-07,-2268.9613918005316,-2828.7162134494756,0.0,17169.697832400034,0.0,0.0,14344.746247500028,2722.8225893500044,6409.442442950009,0.0,-4138.667038499993,-3061.086636249996,28349.277832200085
2024-08,2151.634900719476,-2028.8808570396868,0.0,0.0,0.0,0.0,-5065.931234356113,-1821.6939533236882,0.0,13207.072382599998,0.0,-7183.2780227999665,-741.0767841999814
2024-09,-4480.5380449428985,4223.706816783058,0.0,14251.80488784415,0.0,2695.632949624392,0.0,7203.613033500214,0.0,0.0,0.0,-2296.086643358541,21598.132999450376
2024-10,4801.595674197216,4587.785621296365,0.0,0.0,0.0,-3149.9495271934984,0.0,26379.885171950118,0.0,0.0,0.0,0.0,32619.316940250203
2024-11,3016.439077744779,491.94972375320185,0.0,0.0,0.0,0.0,-5939.098763350025,0.0,0.0,-4161.287443654383,-13128.581963043553,0.0,-19720.57936854998
2024-12,11319.943275263326,-9109.003561399088,0.0,-6023.227637200013,-5841.838108400009,4774.182212700036,0.0,3192.454780849479,0.0,0.0,0.0,3903.0940540862357,2215.605015899966
2025-01,8937.041945388137,1411.4136343119164,0.0,0.0,0.0,-12.122238600009041,-5459.276176249993,0.0,0.0,0.0,-6232.318112250086,16855.537271350055,15500.27632395002
2025-02,29896.30970950133,8834.634463936625,0.0,0.0,31979.15091990804,2277.149495400029,0.0,0.0,0.0,0.0,8768.958674903952,0.0,81756.20326364998
2025-03,8196.752700457459,30693.17562210741,0.0,50279.83753633492,-9101.978185900138,-4169.651350800002,0.0,0.0,0.0,0.0,19509.357423150104,25572.846795299967,120980.34054064972
2025-04,-8058.4567202244225,5727.778036537753,0.0,0.0,0.0,20278.286819150046,0.0,-25327.071155363294,0.0,0.0,0.0,-9457.919704700029,-16837.38272459995
2025-05,8917.389361417743,1485.7768710765067,0.0,0.0,-14478.964737263266,372.8135817999653,0.0,52746.10172966946,0.0,0.0,-13115.7282405199,-8108.182712129933,27819.20585405058
2025-06,9137.88113112477,17527.564626189112,26705.81773539993,0.0,0.0,4215.425533000002,-12083.294240199964,0.0,0.0,-9298.48236629998,48120.610851245496,19752.872188591085,104078.39545905046
